Date,Open,High,Low,Close,Adj Close,Volume
2024-05-21,613.0,643.0,608.5999755859375,637.2999877929688,635.8042602539062,3302217
2024-05-22,639.7000122070312,647.9000244140625,631.0499877929688,633.0999755859375,631.6140747070312,1223389
2024-05-23,633.7999877929688,641.75,626.4000244140625,627.7000122070312,626.226806640625,935640
2024-05-24,627.6500244140625,639.4000244140625,625.9000244140625,630.4000244140625,628.9204711914062,1399970
2024-05-27,633.75,640.5999755859375,628.0499877929688,636.2999877929688,634.8065795898438,956197
2024-05-28,638.0,643.75,617.0,620.9000244140625,619.4427490234375,783966
2024-05-29,623.4000244140625,633.2999877929688,610.5499877929688,630.7000122070312,629.2197875976562,1091008
2024-05-30,624.0,644.9000244140625,618.5,638.0499877929688,636.552490234375,1758146
2024-05-31,640.0,657.0,616.5999755859375,651.0999755859375,649.5718383789062,6813576
2024-06-03,675.0,676.0,655.7999877929688,658.5499877929688,657.00439453125,1400844
2024-06-04,659.0,659.9500122070312,605.0,633.5,632.01318359375,2563435
2024-06-05,635.0,665.0499877929688,614.0999755859375,661.4000244140625,659.8477172851562,1555292
2024-06-06,664.7999877929688,672.9500122070312,652.0,657.0,655.4580078125,698455
2024-06-07,655.0,665.9500122070312,650.0999755859375,664.4500122070312,662.8905639648438,843536
2024-06-10,670.0,672.0999755859375,658.4000244140625,660.2000122070312,658.6505126953125,865101
2024-06-11,663.75,666.0,648.7999877929688,651.2999877929688,649.7713623046875,506267
2024-06-12,654.5,668.3499755859375,654.5,662.3499755859375,660.7954711914062,1327291
2024-06-13,660.4000244140625,664.5999755859375,651.0,651.9000244140625,650.3699951171875,996441
2024-06-14,652.0,654.9000244140625,640.1500244140625,648.2999877929688,648.2999877929688,1704350
2024-06-18,654.0,662.0,637.6500244140625,642.6500244140625,642.6500244140625,1278225
